Yas Marina,ABU,2009,2019,11
Buenos Aires,ARG,1953,1998,20
Adelaide,AUS,1985,1995,11
Melbourne,AUS,1996,2019,24
Spielberg,AUT,1997,2019,13
Österreichring,AUT,1970,1987,18
Zeltweg,AUT,1964,1964,1
Baku,AZB,2016,2019,4
Sakhir,BAH,2004,2019,15
Nivelles,BEL,1972,1974,2
Spa-Francorchamps,BEL,1950,2019,52
Zolder,BEL,1973,1984,10
Interlagos,BRA,1973,2018,36
Jacarepaguá,BRA,1978,1989,10
Montréal,CAN,1978,2019,40
Mosport Park,CAN,1967,1977,8
Mont-Tremblant,CAN,1968,1970,2
Shanghai,CHN,2004,2019,16
Detroit,DET,1982,1988,7
Barcelona,ESP,1991,2019,29
Jarama,ESP,1968,1981,9
Jerez,ESP,1986,1990,7
Montjuïc,ESP,1969,1975,4
Pedralbes,ESP,1951,1954,2
Valencia,ESP,2008,2012,5
Clermont-Ferrand,FRA,1965,1972,4
Dijon-Prenois,FRA,1974,1984,6
Le Mans,FRA,1967,1967,1
Magny-Cours,FRA,1991,2008,18
Paul Ricard,FRA,1971,2019,16
Reims,FRA,1950,1966,11
Rouen,FRA,1952,1968,5
Aintree,GBR,1955,1962,5
Brands Hatch,GBR,1964,1986,14
Donington,GBR,1993,1993,1
Silverstone,GBR,1950,2019,53
AVUS (Berlin),GER,1959,1959,1
Hockenheim,GER,1970,2019,37
Nürburgring,GER,1951,2013,40
Hungaroring,HUN,1986,2019,34
Buddh,IND,2011,2013,3
Monza,ITA,1950,2019,69
Pescara,ITA,1957,1957,1
Mount Fuji,JPN,1976,2008,4
Suzuka,JPN,1987,2019,31
Yeongam,KOR,2010,2013,4
Sepang,MAL,1999,2017,19
Mexico City,MEX,1963,2019,20
Monte-Carlo,MON,1950,2018,65
Casablanca,MOR,1958,1958,1
Zandvoort,NED,1952,1985,30
Aida,PAC,1994,1995,2
Estoril,POR,1984,1996,13
Monsanto,POR,1959,1959,1
Oporto,POR,1958,1960,2
East London,RSA,1962,1965,3
Kyalami,RSA,1967,1993,20
Sochi,RUS,2014,2019,6
Marina Bay,SIN,2008,2019,12
Imola,SMR,1981,2006,27
Bremgarten,SUI,1950,1954,5
Anderstorp,SWE,1973,1978,6
Istanbul,TUR,2005,2011,7
Austin,USA,2012,2019,8
Dallas,USA,1984,1984,1
Indianapolis,USA,2000,2007,19
Las Vegas,USA,1981,1982,2
Phoenix,USA,1989,1991,3
Riverside,USA,1960,1960,1
Sebring,USA,1959,1959,1
Watkins Glen,USA,1961,1980,20
Long Beach,USW,1976,1983,8
